NOMGARE,VENDARGUES,MONTPELLIER EST,MONTPELLIER SUD,MONTPELLIER OUEST,ST JEAN DE VEDAS,SETE,AGDE,BEZIERS CABRIALS (SORTIE),BEZIERS OUEST,NARBONNE EST,NARBONNE SUD,SIGEAN,LEUCATE,PERPIGNAN NORD,PERPIGNAN SUD,BOULOU (FERMe),FRONTIERE ESPAGNOLE,LEZIGNAN,CARCASSONNE EST,CARCASSONNE OUEST,BRAM,CASTELNAUDARY,VILLEFRANCHE DE LAURAGAIS,NAILLOUX,MAZERES,PAMIER NORD,PAMIER SUD,MONTGISCARD,LE PALAYS,MONTAUDRAN,LASBORDES,SOUPETARD,LA ROSERAIE,LA CROIX DAURADE,BORDEROUGE,LES IZARDS,SESQUIERES
NARBONNE SUD,0.07391304347826087,0.08854166666666667,0.09340659340659341,0.08947368421052632,0.09883720930232558,0.08260869565217392,0.07727272727272727,0.08484848484848484,0.084,0.1,0.0,0.09375,0.08148148148148149,0.08571428571428572,0.08307692307692308,0.09375,0.10454545454545454,0.05806451612903226,0.08461538461538462,0.08387096774193549,0.09069767441860464,0.09578947368421052,0.08629032258064516,0.0928,0.09452054794520548,0.09358974358974359,0.09012345679012346,0.09291338582677165,0.09928571428571428,0.10283687943262411,0.10069444444444445,0.1,0.09797297297297297,0.09477124183006536,0.09602649006622517,0.09235668789808917,0.0935483870967742
SIGEAN,0.075177304964539,0.09464285714285714,0.09906542056074766,0.09549549549549549,0.10392156862745097,0.1,0.095,0.08367346938775509,0.08571428571428572,0.095,0.09375,0.0,0.06363636363636363,0.09393939393939395,0.07551020408163266,0.0921875,0.09861111111111111,0.08285714285714285,0.1,0.10273972602739725,0.10444444444444445,0.09807692307692308,0.096875,0.08148148148148147,0.08314606741573034,0.09064327485380116,0.09171597633136094,0.09714285714285714,0.09803921568627451,0.10129870129870129,0.09936305732484076,0.09570552147239264,0.09454545454545454,0.09570552147239264,0.09341317365269461,0.09454545454545454,0.09341317365269461
LEUCATE,0.07516339869281045,0.09349593495934959,0.09745762711864407,0.0942622950819672,0.10087719298245613,0.09381443298969072,0.09436619718309859,0.09672131147540984,0.07735849056603773,0.08387096774193549,0.08148148148148149,0.06363636363636363,0.0,0.08636363636363636,0.07631578947368421,0.08867924528301888,0.09672131147540984,0.07391304347826087,0.09863013698630137,0.09642857142857142,0.09900990099009901,0.1,0.09352517985611511,0.0738219895287958,0.08253968253968254,0.09010989010989011,0.0911111111111111,0.0947019867549669,0.0975609756097561,0.10060606060606062,0.09880952380952382,0.09540229885057472,0.09431818181818183,0.09540229885057472,0.09325842696629215,0.09431818181818183,0.09273743016759778
PERPIGNAN NORD,0.09371069182389938,0.10275862068965518,0.10642857142857143,0.10347222222222223,0.10955882352941176,0.1,0.10215053763440861,0.1108433734939759,0.10266666666666667,0.09433962264150944,0.08571428571428572,0.09393939393939395,0.08636363636363636,0.0,0.06666666666666667,0.08064516129032258,0.0794871794871795,0.10147058823529412,0.10729166666666667,0.09999999999999999,0.1008130081300813,0.10145985401459855,0.09751552795031056,0.09222222222222223,0.0900497512437811,0.09166666666666666,0.09257425742574257,0.0953757225433526,0.1010752688172043,0.10374331550802138,0.10210526315789473,0.09897959183673469,0.09797979797979797,0.09897959183673469,0.09699999999999999,0.09797979797979797,0.09651741293532337
PERPIGNAN SUD,0.09212121212121212,0.09559748427672955,0.09806451612903225,0.09999999999999999,0.10201342281879194,0.09179104477611941,0.0898148148148148,0.09489795918367348,0.09333333333333334,0.08970588235294118,0.08307692307692308,0.07551020408163266,0.07631578947368421,0.06666666666666667,0.0,0.08333333333333333,0.0962962962962963,0.09156626506024096,0.09819819819819821,0.09421487603305785,0.09928057553956834,0.09210526315789473,0.09431818181818183,0.09193548387096775,0.0893719806763285,0.08847926267281106,0.08807339449541284,0.09308510638297872,0.09402985074626866,0.0960591133004926,0.0951219512195122,0.09420289855072464,0.09330143540669857,0.0924170616113744,0.09154929577464789,0.0911214953271028,0.09027777777777778
BOULOU (FERMe),0.08300970873786409,0.09771428571428573,0.1,0.09827586206896552,0.1030120481927711,0.10067114093959731,0.0983739837398374,0.10442477876106196,0.0980952380952381,0.10476190476190476,0.09375,0.0921875,0.08867924528301888,0.08064516129032258,0.08333333333333333,0.0,0.0,0.09090909090909091,0.10238095238095238,0.10147058823529412,0.10194805194805194,0.09821428571428571,0.09635416666666667,0.0881057268722467,0.08512396694214877,0.08936170212765958,0.09012875536480687,0.09852216748768473,0.09953917050691245,0.10183486238532109,0.1009090909090909,0.09779735682819383,0.09694323144104804,0.09779735682819383,0.09652173913043478,0.09694323144104804,0.0961038961038961
FRONTIERE ESPAGNOLE,0.09494949494949495,0.10217391304347827,0.10502793296089385,0.10273224043715848,0.10742857142857143,0.10253164556962024,0.10454545454545455,0.11065573770491803,0.10350877192982456,0.10434782608695652,0.10454545454545454,0.09861111111111111,0.09672131147540984,0.0794871794871795,0.0962962962962963,0.0,0.0,0.09626168224299066,0.10518518518518517,0.09862068965517241,0.10370370370370371,0.10170454545454545,0.10099999999999999,0.09452054794520548,0.08583333333333334,0.09053497942386832,0.0912863070539419,0.09999999999999999,0.10044247787610619,0.1026431718061674,0.1017467248908297,0.09914893617021277,0.09789915966386555,0.09914893617021277,0.09748953974895398,0.09789915966386555,0.09708333333333334
LEZIGNAN,0.08709677419354839,0.09152542372881356,0.09391304347826088,0.0972972972972973,0.1,0.09347826086956522,0.08108108108108109,0.06833333333333333,0.060714285714285714,0.07058823529411765,0.05806451612903226,0.08285714285714285,0.07391304347826087,0.10147058823529412,0.09156626506024096,0.09090909090909091,0.09626168224299066,0.0,0.08888888888888889,0.08947368421052632,0.09272727272727273,0.0927536231884058,0.0903225806451613,0.06482758620689655,0.07902097902097903,0.09191176470588236,0.09328358208955224,0.08666666666666667,0.09576271186440678,0.1,0.09754098360655739,0.09296875,0.09153846153846154,0.09296875,0.09015151515151515,0.09153846153846154,0.08947368421052632
CARCASSONNE EST,0.09735099337748344,0.10137931034482758,0.10352112676056338,0.10652173913043478,0.10888888888888888,0.1,0.09895833333333333,0.0941860465116279,0.09487179487179488,0.09642857142857143,0.08461538461538462,0.1,0.09863013698630137,0.10729166666666667,0.09819819819819821,0.10238095238095238,0.10518518518518517,0.08888888888888889,0.0,0.06999999999999999,0.08928571428571429,0.09047619047619047,0.08333333333333333,0.061016949152542375,0.07413793103448275,0.09259259259259259,0.09345794392523364,0.08571428571428572,0.09999999999999999,0.10543478260869564,0.10319148936170212,0.09603960396039603,0.09417475728155339,0.09603960396039603,0.09326923076923076,0.09417475728155339,0.09238095238095237
CARCASSONNE OUEST,0.09320987654320988,0.0967948717948718,0.0993421052631579,0.10202702702702703,0.10413793103448275,0.09692307692307692,0.09811320754716982,0.09578947368421052,0.09310344827586206,0.09393939393939395,0.08387096774193549,0.10273972602739725,0.09642857142857142,0.09999999999999999,0.09421487603305785,0.10147058823529412,0.09862068965517241,0.08947368421052632,0.06999999999999999,0.0,0.08095238095238096,0.08235294117647059,0.0793103448275862,0.06818181818181818,0.07339449541284404,0.08514851485148514,0.086,0.08285714285714285,0.09523809523809523,0.10117647058823528,0.09885057471264368,0.09148936170212765,0.08958333333333333,0.09247311827956989,0.08865979381443298,0.08958333333333333,0.08775510204081632
